CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Inflow,Flag Codes,Flags
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2009,2009,5910,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2010,2010,4018,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2011,2011,3086,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2012,2012,2922,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2013,2013,3023,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2014,2014,3517,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2015,2015,32270,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2016,2016,5319,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2017,2017,4350,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2018,2018,2955,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FIN,Finland,2019,2019,2455,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2000,2000,39775,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2001,2001,47291,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2002,2002,51087,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2003,2003,59768,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2004,2004,58545,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2005,2005,49733,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2006,2006,30748,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2007,2007,29387,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2008,2008,35404,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2009,2009,42118,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2010,2010,48074,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2011,2011,52147,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2012,2012,55068,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2013,2013,60234,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2014,2014,59041,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2015,2015,74300,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2016,2016,70748,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2017,2017,91965,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2018,2018,111415,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,FRA,France,2019,2019,119915,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2000,2000,78564,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2001,2001,88287,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2002,2002,71127,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2003,2003,50563,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2004,2004,35607,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2005,2005,28914,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2006,2006,21029,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2007,2007,19164,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2008,2008,22085,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2009,2009,27649,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2010,2010,41332,,
